255,1093,石藥集團
256,1098,路勁
257,1099,國藥控股
258,1108,洛陽玻璃股份
259,1109,華潤置地
260,1112,Ｈ＆Ｈ國際控股
261,1113,長實集團
262,1114,BRILLIANCE CHI
263,1117,現代牧業
264,1128,永利澳門
265,1138,中遠海能
266,1140,東英金融
267,1141,民銀資本
268,1157,中聯重科
269,1169,海爾電器
270,1171,兗州煤業股份
271,1176,珠光控股
272,1177,中國生物製藥
273,1186,中國鐵建
274,1193,華潤燃氣
275,1196,偉祿集團
276,1199,中遠海運港口
277,1205,中信資源
278,1208,五礦資源
279,1211,比亞迪股份
280,1212,利福國際
281,1230,雅士利國際
282,1233,時代中國控股
283,1234,中國利郎
284,1238,寶龍地產
285,1250,北控清潔能源集團
286,1257,中國光大綠色環保
287,1269,首控集團
288,1270,朗廷－ＳＳ
289,1282,中國金洋
290,1288,農業銀行
291,1293,廣匯寶信
292,1299,友邦保險
293,1302,先健科技
294,1308,海豐國際
295,1310,香港寬頻
296,1313,華潤水泥控股
297,1316,耐世特
298,1317,楓葉教育
299,1330,綠色動力環保
300,1333,中國忠旺
301,1336,新華保險
302,1337,雷蛇
303,1339,中國人民保險集團
304,1347,華虹半導體
305,1357,美圖公司
306,1359,中國信達
307,1361,３６１度
308,1363,中滔環保
309,1368,特步國際
310,1375,中州證券
311,1378,中國宏橋
312,1381,粵豐環保
313,1382,互太紡織
314,1398,工商銀行
315,1428,耀才證券金融
316,1448,福壽園
317,1458,周黑鴨
318,1478,丘鈦科技
319,1508,中國再保險
320,1513,麗珠醫藥
321,1515,華潤醫療
322,1528,紅星美凱龍
323,1530,三生製藥
324,1533,莊園牧場
325,1548,金斯瑞生物科技
326,1558,東陽光藥
327,1569,民生教育
328,1579,頤海國際
329,1585,雅迪控股
330,1608,偉能集團
331,1610,中糧肉食
332,1618,中國中冶
333,1622,力高集團
334,1628,禹洲地產
335,1635,大眾公用
336,1636,中國金屬利用
337,1638,佳兆業集團
338,1658,郵儲銀行
339,1666,同仁堂科技
340,1668,華南城
341,1680,澳門勵駿
342,1681,康臣葯業
343,1686,新意網集團
344,1717,澳優
345,1728,正通汽車
346,1766,中國中車
347,1772,贛鋒鋰業
348,1776,廣發証券
349,1777,花樣年控股
350,1778,彩生活
351,1787,山東黃金
352,1788,國泰君安國際
353,1800,中國交通建設
354,1806,匯付天下
355,1810,小米集團－Ｗ
356,1811,中廣核新能源
357,1812,晨鳴紙業
358,1813,合景泰富集團
359,1816,中廣核電力
360,1818,招金礦業
362,1829,中國機械工程
363,1833,平安好醫生
364,1848,中國飛機租賃
365,1882,海天國際
366,1883,中信國際電訊
367,1888,建滔積層板
368,1898,中煤能源
369,1899,興達國際
370,1910,新秀麗
371,1913,普拉達
372,1916,江西銀行
373,1918,融創中國
374,1919,中遠海控
375,1928,金沙中國有限公司
376,1929,周大福
377,1958,北京汽車
378,1963,重慶銀行
379,1966,中駿集團控股
380,1970,IMAX CHINA
381,1972,太古地產
382,1980,天鴿互動
383,1988,民生銀行
384,1997,九龍倉置業
385,1999,敏華控股
386,2001,新高教集團
387,2003,維信金科
388,2005,石四藥集團
389,2006,錦江酒店
390,2007,碧桂園
391,2009,金隅集團
392,2018,瑞聲科技
393,2020,安踏體育
394,2038,富智康集團
395,2039,中集集團
396,2048,易居企業控股
397,2068,中鋁國際
398,2099,中國黃金國際
399,2111,超盈國際控股
400,2128,中國聯塑
401,2186,綠葉製藥
402,2196,復星醫藥
403,2202,萬科企業
404,2208,金風科技
405,2232,晶苑國際
406,2233,西部水泥
407,2238,廣汽集團
408,2255,海昌海洋公園
409,2269,藥明生物
410,2280,慧聰集團
411,2282,美高梅中國
412,2298,都市麗人
413,2313,申洲國際
414,2314,理文造紙
415,2318,中國平安
416,2319,蒙牛乳業
417,2328,中國財險
418,2331,李寧
419,2333,長城汽車
420,2338,濰柴動力
421,2343,太平洋航運
422,2356,大新銀行集團
423,2357,中航科工
424,2359,藥明康德
425,2362,金川國際
426,2380,中國電力
427,2382,舜宇光學科技
428,2386,中石化煉化工程
429,2388,中銀香港
430,2588,中銀航空租賃
431,2600,中國鋁業
432,2601,中國太保
433,2607,上海醫藥
434,2611,國泰君安
435,2628,中國人壽
436,2638,港燈－ＳＳ
437,2662,承興國際控股
438,2666,環球醫療
439,2669,中海物業
440,2678,天虹紡織
441,2688,新奧能源
442,2689,玖龍紙業
443,2727,上海電氣
444,2768,佳源國際控股
445,2777,富力地產
446,2778,冠君產業信託
447,2799,中國華融
448,2800,盈富基金
449,2801,安碩中國ＥＴＦ
450,2802,安碩亞洲新興
451,2803,ＰＰ中國基石經濟
452,2805,領航亞洲
454,2810,ＰＰ新興東盟
455,2811,海通滬深三百
456,2812,三星中國龍網
457,2813,華夏政銀國債
458,2819,ＡＢＦ港債指數
459,2821,沛富基金
460,2822,南方Ａ５０
461,2823,安碩Ａ５０
462,2824,力寶專選中港地產
463,2825,標智香港１００
464,2827,標智滬深３００
465,2828,恒生中國企業
466,2832,博時ＦＡ５０
467,2833,恒指ＥＴＦ
468,2834,安碩納指一百
469,2836,安碩印度
470,2838,恒生富時中國５０
