0,1,長和,555546386.5353658
1,2,中電控股,378228067.747561
2,3,香港中華煤氣,391169844.6536586
3,4,九龍倉集團,70731520.74714635
4,5,匯豐控股,2019401111.42561
5,6,電能實業,230807890.89268288
6,8,電訊盈科,53022115.26458537
7,10,恒隆集團,26179424.906341463
8,11,恒生銀行,434898879.0357562
9,12,恒基地產,206127206.2804878
10,14,希慎興業,45657761.10853658
11,16,新鴻基地產,574331616.504878
12,17,新世界發展,161070766.6547561
13,19,太古股份公司Ａ,130604302.89909756
14,20,會德豐,111792096.0197073
15,23,東亞銀行,28500798.698048785
16,27,銀河娛樂,936642103.3081462
17,66,港鐵公司,213254194.74390244
18,69,香格里拉（亞洲）,22184605.774634145
19,81,中國海外宏洋集團,28104461.7395122
20,83,信和置業,76485226.82926829
21,101,恒隆地產,122755415.14475612
22,119,保利置業集團,20870482.629756097
23,123,越秀地產,22921682.17170732
24,135,昆侖能源,142096413.05097562
25,144,招商局港口,110081406.40902442
26,148,建滔集團,36892844.580975614
27,151,中國旺旺,99820438.79780488
28,152,深圳國際,40338692.29219512
29,165,中國光大控股,49964172.58487805
30,168,青島啤酒股份,126927507.3487805
31,175,吉利汽車,581178944.2595122
32,177,江蘇寧滬高速公路,47798462.87878048
33,200,新濠國際發展,82930258.06292683
34,220,統一企業中國,34468366.731219515
35,241,阿里健康,619637718.9207318
36,257,中國光大國際,61523549.56609757
37,267,中信股份,148264194.76999998
38,268,金蝶國際,262380306.5024877
39,270,粵海投資,153073005.66682926
40,285,比亞迪電子,278820501.85560983
41,288,萬洲國際,400761800.01512194
42,291,華潤啤酒,336937849.23902434
43,293,國泰航空,22003715.42146341
44,303,VTECH HOLDINGS,50082689.56585366
45,322,康師傅控股,138451752.6907317
46,338,上海石油化工股份,50772291.649756104
47,341,大家樂集團,29553527.74487805
48,345,VITASOY INT'L,125522579.65731709
49,347,鞍鋼股份,24101519.62926829
50,354,中國軟件國際,81303561.33317073
51,358,江西銅業股份,31595944.922439024
52,371,北控水務集團,57894029.75609756
53,384,中國燃氣,777111932.6585367
54,386,中國石油化工股份,613688363.7004879
55,388,香港交易所,1344294230.117073
56,390,中國中鐵,89003141.61731707
57,392,北京控股,60401844.28414633
58,410,ＳＯＨＯ中國,81044243.95463414
59,425,敏實集團,104228162.2617073
60,489,東風集團股份,85522007.78024392
61,493,國美零售,93530063.68170732
62,494,利豐,144839390.6492683
63,520,呷哺呷哺,33741790.85804877
64,522,ASM PACIFIC,131802863.11531708
65,535,金地商置,40037585.71121951
66,548,深圳高速公路股份,38146086.74512195
67,551,裕元集團,82159422.36146341
68,552,中國通信服務,75883727.89146341
69,570,中國中藥,51152803.51170731
70,576,浙江滬杭甬,48861356.14341464
71,586,海螺創業,202356593.12682933
72,598,中國外運,23841502.57146341
73,631,三一國際,30174582.809024394
74,656,復星國際,146957948.08536583
75,659,新創建集團,31819880.68648781
76,665,海通國際,41529816.86034147
77,669,創科實業,371645560.63658535
78,670,中國東方航空股份,61122508.75902439
79,683,嘉里建設,50693903.91682927
80,688,中國海外發展,514057942.1853659
81,694,北京首都機場股份,83472385.29731707
82,696,中國民航信息網絡,74832336.00390244
83,699,神州租車,60703653.83707316
84,700,騰訊控股,9702943053.072195
85,728,中國電信,218040009.07463413
86,753,中國國航,139100098.2717073
87,754,合生創展集團,22060241.42317073
88,762,中國聯通,271069391.18512195
89,763,中興通訊,541830581.3682927
90,777,網龍,50289128.76804878
91,788,中國鐵塔,834506438.822683
92,799,IGG,31376059.214390244
93,813,世茂房地產,317213028.01463413
94,817,中國金茂,119095705.20926829
95,819,天能動力,54865647.79999999
96,836,華潤電力,77821626.24487805
97,839,中教控股,46952246.108
98,853,微創醫療,341607914.28243905
99,857,中國石油股份,482691338.1636585
100,867,康哲藥業,58077671.82804879
101,868,信義玻璃,81400156.63268293
102,874,白雲山,37014728.6195122
103,880,澳博控股,117323285.09634148
104,881,中升控股,158769969.11951217
105,883,中國海洋石油,987041939.1509756
106,884,旭輝控股集團,128874977.7185366
107,902,華能國際電力股份,88205175.28512195
108,914,海螺水泥,489686687.56707317
109,916,龍源電力,63193541.41975611
110,939,建設銀行,2288945149.366342
111,941,中國移動,1750453530.3219512
112,960,龍湖集團,342754509.40365857
113,966,中國太平,152841385.88390243
114,968,信義光能,188677666.98341465
115,981,中芯國際,1305964905.0965853
116,992,聯想集團,184672857.31634143
117,998,中信銀行,141680032.34560972
118,1030,新城發展控股,122067923.19365856
119,1038,長江基建集團,141097574.19024387
120,1044,恒安國際,281352227.49756104
121,1052,越秀交通基建,33802338.506341465
122,1055,中國南方航空股份,106080183.83512194
123,1060,阿里影業,39905465.77463415
124,1066,威高股份,167084046.93902442
125,1071,華電國際電力股份,31984745.492439024
126,1088,中國神華,335227493.4629268
127,1093,石藥集團,558483694.8204877
128,1099,國藥控股,205112173.2446341
129,1109,華潤置地,458908675.10243917
130,1112,H&H國際控股,46134790.15319513
131,1113,長實集團,485190085.84024405
132,1114,BRILLIANCE CHI,132547124.56097558
133,1128,永利澳門,158715536.5936585
134,1138,中遠海能,115032968.48341462
135,1157,中聯重科,97543675.40219513
136,1169,海爾電器,91287440.93463412
137,1171,兗州煤業股份,89144273.47975609
138,1177,中國生物製藥,674198142.2292683
139,1186,中國鐵建,82562894.82195121
140,1193,華潤燃氣,282961514.68658537
141,1199,中遠海運港口,29051021.552195124
142,1208,五礦資源,31416035.08853659
143,1211,比亞迪股份,312625445.047561
144,1233,時代中國控股,77861624.85121952
145,1238,寶龍地產,21718467.278536584
